Country,Region,antimicrobial_mg_per_population,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita,PercentResistant,Prop_Antibiotics_Sold_Without_Prescription,Animal Product Consumption
Bermuda,Latin America and the Caribbean,Empty,Empty,Empty,8.4,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Bhutan,South Asia,109.8058,5.190215,13.064,16.9,15.72094,67.44273,0.42,49.7,67.4427315.720945.190215
Bolivia,Latin America and the Caribbean,65.82179,6.720796,15.022,7.9,80.73052,39.15066,Empty,71.5,39.1506680.730526.720796
Bonaire,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Bosnia And Herzegovina,Europe and Central Asia,68.36832,6.00333,13.277,117.6,49.35848,187.1122,0.35,50.0,187.112249.358486.00333
Botswana,Sub-Saharan Africa,20.60346,1.509254,11.426,9.8,31.55418,100.9583,Empty,70.7,100.958331.554181.509254
Bouvet Island,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Brazil,Latin America and the Caribbean,56.25517,13.05356,15.579,47.4,101.142,151.063,0.49,71.5,151.063101.14213.05356
Brunei Darussalam,East Asia and Pacific,Empty,Empty,13.699,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Bulgaria,Europe and Central Asia,74.94107,5.13674,13.868,155.8,60.43866,167.4557,0.33,50.0,167.455760.438665.13674
Burkina Faso,Sub-Saharan Africa,22.77397,1.067757,8.092,10.3,25.10237,20.26724,Empty,70.7,20.2672425.102371.067757
Burundi,Sub-Saharan Africa,19.86454,0.135465,9.966,9.1,3.560791,5.360539,Empty,70.7,5.3605393.5607910.135465
Cabo Verde,Sub-Saharan Africa,Empty,Empty,11.531,Empty,Empty,Empty,Empty,70.7,EmptyEmptyEmpty
Cambodia,East Asia and Pacific,123.3987,1.09175,11.561,15.3,12.09698,8.119893,0.68,73.3,8.11989312.096981.09175
Cameroon,Sub-Saharan Africa,31.4994,1.697131,13.381,10.3,15.14285,13.05174,Empty,70.7,13.0517415.142851.697131
Canada,North America,60.20312,15.58132,15.961,46.6,90.10026,163.5197,Empty,71.0,163.519790.1002615.58132
Cayman Islands,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Central African Republic,Sub-Saharan Africa,20.95825,0.722284,7.286,8.4,39.10184,14.83966,Empty,70.7,14.8396639.101840.722284
Chad,Sub-Saharan Africa,27.87495,0.201671,8.186,10.6,46.99885,23.11529,Empty,70.7,23.1152946.998850.201671
Chile,Latin America and the Caribbean,119.1085,9.785307,16.768,50.0,92.35886,92.028,0.29,71.5,92.02892.358869.785307
China,East Asia and Pacific,208.4677,21.72,17.85,97.7,70.57,32.32,0.56,73.3,32.3270.5721.72
Christmas Island,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Cocos (Keeling) Islands,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Colombia,Latin America and the Caribbean,55.51907,12.17193,14.437,26.2,63.07546,119.3731,Empty,71.5,119.373163.0754612.17193
Comoros,Sub-Saharan Africa,72.72638,1.22377,13.038,12.1,29.42064,15.73849,Empty,70.7,15.7384929.420641.22377
Congo,Sub-Saharan Africa,20.78166,0.077354,12.416,10.2,3.887039,43.07652,Empty,70.7,43.076523.8870390.077354
Cook Islands,East Asia and Pacific,26759.34,Empty,Empty,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Costa Rica,Latin America and the Caribbean,64.80021,14.08941,16.092,29.8,61.45511,174.1296,Empty,71.5,174.129661.4551114.08941
Cã´Te D'Ivoire,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7,EmptyEmptyEmpty
Croatia,Europe and Central Asia,35.79841,8.654839,15.573,194.2,97.14256,179.7916,0.29,50.0,179.791697.142568.654839
Cuba,Latin America and the Caribbean,70.6292,8.708344,14.469,7.6,61.48557,78.60826,Empty,71.5,78.6082661.485578.708344
Curaã§Ao,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Cyprus,Europe and Central Asia,234.6739,7.012381,16.243,61.1,71.7594,168.1186,0.52,50.0,168.118671.75947.012381
Czechia,Europe and Central Asia,25.41189,8.081969,16.347,Empty,81.66525,165.0413,Empty,50.0,165.041381.665258.081969
Denmark,Europe and Central Asia,20.45157,14.72833,18.774,64.2,66.79564,394.2966,Empty,50.0,394.296666.7956414.72833
Djibouti,Middle East and North Africa,27.14289,1.793991,8.028,12.1,14.46036,42.91778,Empty,63.1,42.9177814.460361.793991
Dominica,Latin America and the Caribbean,49.51277,16.34721,13.557,7.0,57.76016,112.7708,Empty,71.5,112.770857.7601616.34721
Dominican Republic,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Ecuador,Latin America and the Caribbean,61.98479,7.877502,14.865,10.5,53.8397,109.2852,Empty,71.5,109.285253.83977.877502
Egypt,Middle East and North Africa,14.74742,4.03087,12.912,26.7,31.88231,52.37174,0.47,63.1,52.3717431.882314.03087
El Salvador,Latin America and the Caribbean,45.82882,8.929018,11.91,23.8,43.30321,238.7529,Empty,71.5,238.752943.303218.929018
Equatorial Guinea,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7,EmptyEmptyEmpty
Eritrea,Sub-Saharan Africa,25.11639,Empty,7.319,10.2,Empty,Empty,Empty,70.7,EmptyEmptyEmpty
Estonia,Europe and Central Asia,23.34837,12.71949,15.943,111.5,67.69321,318.606,0.13,50.0,318.60667.6932112.71949
Eswatini,Sub-Saharan Africa,19.69211,1.656224,14.927,Empty,25.73062,48.15864,Empty,70.7,48.1586425.730621.656224
Ethiopia,Sub-Saharan Africa,22.08885,0.324725,9.939,9.7,6.474814,30.88821,0.54,70.7,30.888216.4748140.324725
Falkland Islands (Malvinas),Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Faroe Islands,Europe and Central Asia,313.0092,Empty,Empty,Empty,Empty,Empty,Empty,50.0,EmptyEmptyEmpty
Fiji,East Asia and Pacific,77.76166,5.895577,13.849,26.8,52.48379,49.77364,Empty,73.3,49.7736452.483795.895577
Finland,Europe and Central Asia,7.416708,9.898994,19.229,91.7,71.25287,256.1402,0.1,50.0,256.140271.252879.898994
France,Europe and Central Asia,22.00374,13.37827,15.988,66.6,82.49285,251.0864,0.15,50.0,251.086482.4928513.37827
French Guiana,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
French Polynesia,East Asia and Pacific,439.1657,13.09715,Empty,Empty,105.0612,128.1533,Empty,73.3,128.1533105.061213.09715
French Southern Territories,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7,EmptyEmptyEmpty
Gabon,Sub-Saharan Africa,30.53426,0.805912,12.434,10.7,64.29604,21.9955,Empty,70.7,21.995564.296040.805912
Gambia,Sub-Saharan Africa,20.50713,3.930987,8.978,11.9,23.95542,22.1798,Empty,70.7,22.179823.955423.930987
Georgia,Middle East and North Africa,82.61754,10.923,16.727,36.1,39.69576,179.8298,0.21,63.1,179.829839.6957610.923
Germany,Europe and Central Asia,36.39595,15.57616,17.343,88.3,70.71238,208.4488,0.15,50.0,208.448870.7123815.57616
Ghana,Sub-Saharan Africa,23.15382,1.080546,11.586,11.0,17.91485,8.119243,0.59,70.7,8.11924317.914851.080546
Gibraltar,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0,EmptyEmptyEmpty
Greece,Europe and Central Asia,78.13855,9.444979,20.026,68.7,78.71148,231.5167,0.34,50.0,231.516778.711489.444979
Greenland,Latin America and the Caribbean,Empty,Empty,Empty,47.8,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Grenada,Latin America and the Caribbean,220.3327,20.41533,16.582,6.7,83.22759,135.8376,Empty,71.5,135.837683.2275920.41533
Guadeloupe,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Guam,East Asia and Pacific,Empty,Empty,Empty,34.8,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Guatemala,Latin America and the Caribbean,60.38946,12.18729,10.767,22.7,46.03976,46.16974,Empty,71.5,46.1697446.0397612.18729
Guernsey,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0,EmptyEmptyEmpty
Guinea,Sub-Saharan Africa,141.5578,0.447329,11.127,10.7,58.4212,6.660235,Empty,70.7,6.66023558.42120.447329
Guinea-Bissau,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7,EmptyEmptyEmpty
Guyana,Latin America and the Caribbean,46.20012,1.407538,13.022,5.4,76.32202,121.6979,Empty,71.5,121.697976.322021.407538
Haiti,Latin America and the Caribbean,61.2176,0.382689,11.138,4.7,19.83939,7.04953,Empty,71.5,7.0495319.839390.382689
Heard Island And Mcdonald Islands,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Holy See,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0,EmptyEmptyEmpty
Honduras,Latin America and the Caribbean,46.59542,4.018053,9.962,22.7,39.33305,67.34975,Empty,71.5,67.3497539.333054.018053
Hong Kong,East Asia and Pacific,72.16804,24.12392,Empty,Empty,123.7391,66.04235,Empty,73.3,66.04235123.739124.12392
Hungary,Europe and Central Asia,62.03732,13.7813,15.073,80.6,78.87965,177.3042,0.28,50.0,177.304278.8796513.7813
Iceland,Europe and Central Asia,9.830115,9.587983,19.107,66.8,91.59563,193.4557,0.14,50.0,193.455791.595639.587983
India,South Asia,114.2534,4.633029,12.584,16.2,6.591627,81.32656,0.71,49.7,81.326566.5916274.633029
Indonesia,East Asia and Pacific,87.04435,19.28694,13.976,14.0,18.93123,17.54795,0.66,73.3,17.5479518.9312319.28694
Iran,Middle East and North Africa,145.3703,8.86255,14.117,27.0,31.56294,25.31168,0.65,63.1,25.3116831.562948.86255
Iraq,Middle East and North Africa,56.0852,2.372846,12.223,26.2,19.06937,17.65778,0.55,63.1,17.6577819.069372.372846
Ireland,Europe and Central Asia,20.45518,13.14262,19.126,71.0,89.12802,304.9443,Empty,50.0,304.944389.1280213.14262
Isle Of Man,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0,EmptyEmptyEmpty
Israel,Middle East and North Africa,51.04705,12.29183,15.03,70.9,112.3838,179.6811,Empty,63.1,179.6811112.383812.29183
Italy,Europe and Central Asia,72.59271,12.18,16.658,93.8,72.86217,227.9344,0.32,50.0,227.934472.8621712.18
Jamaica,Latin America and the Caribbean,46.42536,3.515365,12.46,7.2,64.65084,101.4178,Empty,71.5,101.417864.650843.515365
Japan,East Asia and Pacific,62.79357,19.75332,15.456,39.2,59.91444,61.62997,0.29,73.3,61.6299759.9144419.75332
Jersey,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0,EmptyEmptyEmpty
Jordan,Middle East and North Africa,41.05746,4.381492,12.627,31.4,37.98964,65.74244,0.53,63.1,65.7424437.989644.381492
Kazakhstan,Europe and Central Asia,88.82079,7.542468,14.816,31.3,67.95967,274.7434,Empty,50.0,274.743467.959677.542468
Kenya,Sub-Saharan Africa,25.19668,1.125314,11.384,11.0,10.90459,81.53052,0.58,70.7,81.5305210.904591.125314
Kiribati,East Asia and Pacific,Empty,2.946819,11.803,25.5,43.15632,18.07315,Empty,73.3,18.0731543.156322.946819
Korea,East Asia and Pacific,121.5339,12.6081,16.51,75.2,83.45363,31.37016,0.41,73.3,31.3701683.4536312.6081
Kuwait,Middle East and North Africa,51.57773,16.87266,15.691,30.9,76.65247,139.3715,0.49,63.1,139.371576.6524716.87266
Kyrgyzstan,Europe and Central Asia,107.8798,5.614652,12.995,31.3,36.37608,192.1088,Empty,50.0,192.108836.376085.614652
Laos,East Asia and Pacific,107.5831,2.061914,Empty,15.6,29.84297,7.291407,0.3,73.3,7.29140729.842972.061914
Latvia,Europe and Central Asia,16.15828,10.64509,16.556,111.9,82.30761,215.6172,0.21,50.0,215.617282.3076110.64509
Lebanon,Middle East and North Africa,29.44482,7.224733,12.051,19.3,38.50324,109.4891,0.52,63.1,109.489138.503247.224733
Lesotho,Sub-Saharan Africa,27.8202,0.56483,11.071,8.7,11.2966,95.38568,Empty,70.7,95.3856811.29660.56483
Liberia,Sub-Saharan Africa,12.84324,2.121745,10.466,10.9,20.09243,2.930968,0.48,70.7,2.93096820.092432.121745
Libya,Middle East and North Africa,27.61976,8.84572,13.977,18.3,42.89891,140.6734,Empty,63.1,140.673442.898918.84572
Liechtenstein,Europe and Central Asia,Empty,Empty,15.466,Empty,Empty,Empty,Empty,50.0,EmptyEmptyEmpty
Lithuania,Europe and Central Asia,8.52686,14.72201,16.4,111.7,79.44809,254.1011,0.18,50.0,254.101179.4480914.72201
Luxembourg,Europe and Central Asia,12.26203,20.30082,14.197,110.9,85.30704,228.513,0.21,50.0,228.51385.3070420.30082
Macao,East Asia and Pacific,Empty,20.36086,Empty,Empty,111.664,35.77708,Empty,73.3,35.77708111.66420.36086
Madagascar,Sub-Saharan Africa,21.19254,0.505896,9.213,11.0,5.341094,16.44162,0.51,70.7,16.441625.3410940.505896
Malawi,Sub-Saharan Africa,16.09653,0.912691,11.505,8.9,30.58507,10.67452,0.6,70.7,10.6745230.585070.912691
Malaysia,East Asia and Pacific,90.55596,15.70947,12.932,17.4,69.2547,41.5626,0.25,73.3,41.562669.254715.70947
Maldives,South Asia,Empty,20.69712,12.178,19.3,38.90579,117.277,Empty,49.7,117.27738.9057920.69712
Mali,Sub-Saharan Africa,30.64287,0.316326,7.647,9.6,11.12084,100.6312,0.44,70.7,100.631211.120840.316326
Malta,Europe and Central Asia,57.22128,12.95378,15.861,66.3,66.04108,284.1351,Empty,50.0,284.135166.0410812.95378
Marshall Islands,East Asia and Pacific,Empty,11.59158,16.386,26.2,122.7069,43.35954,Empty,73.3,43.35954122.706911.59158
Martinique,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Mauritania,Sub-Saharan Africa,35.61663,1.466795,8.052,13.0,32.71633,105.0361,Empty,70.7,105.036132.716331.466795
Mauritius,Sub-Saharan Africa,10.65216,8.543424,14.61,19.1,61.23975,144.8411,Empty,70.7,144.841161.239758.543424
Mayotte,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7,EmptyEmptyEmpty
Mexico,Latin America and the Caribbean,70.67738,21.33444,14.505,27.9,76.85157,124.2791,0.62,71.5,124.279176.8515721.33444
Micronesia,East Asia and Pacific,143.532,5.274061,12.615,26.3,63.52291,8.847797,Empty,73.3,8.84779763.522915.274061
Moldova,Europe and Central Asia,51.53367,10.1069,14.906,99.4,35.42888,90.98945,Empty,50.0,90.9894535.4288810.1069
Monaco,Europe and Central Asia,Empty,Empty,18.692,Empty,Empty,Empty,Empty,50.0,EmptyEmptyEmpty
Mongolia,East Asia and Pacific,252.7873,6.593973,14.517,29.7,132.2609,241.7088,Empty,73.3,241.7088132.26096.593973
Montenegro,Europe and Central Asia,90.20159,14.83404,15.085,163.5,90.21832,402.5595,Empty,50.0,402.559590.2183214.83404
Montserrat,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Morocco,Middle East and North Africa,20.16377,8.148039,14.594,28.5,31.5887,34.64924,Empty,63.1,34.6492431.58878.148039
Mozambique,Sub-Saharan Africa,14.44418,0.494701,10.725,9.8,11.1661,2.241297,Empty,70.7,2.24129711.16610.494701
Myanmar,East Asia and Pacific,91.84039,1.985484,12.061,15.9,20.23783,8.214057,0.62,73.3,8.21405720.237831.985484
Namibia,Sub-Saharan Africa,22.40118,0.986058,11.76,10.4,24.79359,56.34746,Empty,70.7,56.3474624.793590.986058
Nauru,East Asia and Pacific,Empty,14.37312,12.561,Empty,115.6388,94.75973,Empty,73.3,94.75973115.638814.37312
Nepal,South Asia,102.8166,1.963487,12.645,14.0,17.26019,41.61359,0.46,49.7,41.6135917.260191.963487
Netherlands,Europe and Central Asia,20.83366,32.45106,18.583,69.6,63.85246,264.072,0.13,50.0,264.07263.8524632.45106
New Caledonia,East Asia and Pacific,109.6712,10.17896,Empty,Empty,83.36047,133.4575,Empty,73.3,133.457583.3604710.17896
New Zealand,East Asia and Pacific,9.997013,10.24583,19.682,148.2,87.50379,128.4467,0.1,73.3,128.446787.5037910.24583
Nicaragua,Latin America and the Caribbean,49.12637,4.738482,12.583,27.1,33.55134,138.4793,Empty,71.5,138.479333.551344.738482
Niger,Sub-Saharan Africa,24.62592,2.663812,10.514,11.8,7.452798,4.808572,0.87,70.7,4.8085727.4527982.663812
Nigeria,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7,EmptyEmptyEmpty
Niue,East Asia and Pacific,5347.229,Empty,Empty,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Norfolk Island,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
North Macedonia,Europe and Central Asia,111.3654,6.746444,13.005,Empty,48.13525,162.711,Empty,50.0,162.71148.135256.746444
Northern Mariana Islands,East Asia and Pacific,Empty,Empty,Empty,34.5,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Norway,Europe and Central Asia,4.339035,12.29913,18.638,274.4,71.94246,174.4983,0.1,50.0,174.498371.9424612.29913
Oman,Middle East and North Africa,59.42219,13.37507,14.508,27.6,69.63445,222.8425,0.5,63.1,222.842569.6344513.37507
Pakistan,South Asia,101.1734,3.7159,7.895,15.9,20.4181,110.6158,0.73,49.7,110.615820.41813.7159
Palau,East Asia and Pacific,Empty,Empty,17.22,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Palestine,Middle East and North Africa,94.70892,Empty,13.155,30.2,Empty,Empty,Empty,63.1,EmptyEmptyEmpty
Panama,Latin America and the Caribbean,54.56314,7.823857,13.214,29.1,78.8797,49.8583,Empty,71.5,49.858378.87977.823857
Papua New Guinea,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Paraguay,Latin America and the Caribbean,54.19864,17.78318,13.911,50.0,32.27653,66.07761,Empty,71.5,66.0776132.2765317.78318
Peru,Latin America and the Caribbean,64.92041,11.21918,14.805,9.5,55.21098,83.6302,0.57,71.5,83.630255.2109811.21918
Philippines,East Asia and Pacific,116.3298,5.647939,12.783,13.2,35.55058,29.75055,Empty,73.3,29.7505535.550585.647939
Pitcairn,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3,EmptyEmptyEmpty
Poland,Europe and Central Asia,68.81839,5.575844,15.935,189.7,84.74869,198.1657,0.33,50.0,198.165784.748695.575844
Portugal,Europe and Central Asia,87.356,11.71325,16.821,47.3,97.03857,181.23,0.22,50.0,181.2397.0385711.71325
Puerto Rico,Latin America and the Caribbean,50.39188,Empty,Empty,8.3,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Qatar,Middle East and North Africa,53.69376,19.05475,13.264,40.1,82.75074,109.7722,Empty,63.1,109.772282.7507419.05475
Romania,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0,EmptyEmptyEmpty
Russia,Europe and Central Asia,75.59826,16.66023,15.662,101.2,81.22361,151.5723,0.55,50.0,151.572381.2236116.66023
Rwanda,Sub-Saharan Africa,20.63861,0.302762,11.384,9.8,6.287355,12.73618,Empty,70.7,12.736186.2873550.302762
Saint Barthã©Lemy,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Saint Helena,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7,EmptyEmptyEmpty
Saint Kitts And Nevis,Latin America and the Caribbean,368.5401,4.895423,18.407,Empty,91.524,28.14868,Empty,71.5,28.1486891.5244.895423
Saint Lucia,Latin America and the Caribbean,110.9345,5.60321,12.71,7.1,92.36745,58.58724,Empty,71.5,58.5872492.367455.60321
Saint Martin,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Saint Pierre And Miquelon,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Saint Vincent And The Grenadines,Latin America and the Caribbean,239.5675,5.387857,16.253,6.5,126.6503,119.6023,Empty,71.5,119.6023126.65035.387857
Samoa,East Asia and Pacific,51.45422,1.642523,12.436,30.7,108.4168,38.83172,Empty,73.3,38.83172108.41681.642523
San Marino,Europe and Central Asia,Empty,Empty,12.403,Empty,Empty,Empty,Empty,50.0,EmptyEmptyEmpty
Sao Tome And Principe,Sub-Saharan Africa,164.7467,0.713347,12.664,12.7,21.42052,13.73445,Empty,70.7,13.7344521.420520.713347
Saudi Arabia,Middle East and North Africa,42.53524,10.6368,15.172,25.4,66.25371,70.91579,0.48,63.1,70.9157966.2537110.6368
Senegal,Sub-Saharan Africa,19.64031,3.561178,9.145,11.4,20.7392,16.88371,Empty,70.7,16.8837120.73923.561178
Serbia,Europe and Central Asia,52.55658,13.33428,14.504,156.2,79.36766,205.299,0.45,50.0,205.29979.3676613.33428
Seychelles,Sub-Saharan Africa,9496.926,10.23994,13.892,20.1,65.45881,103.7989,Empty,70.7,103.798965.4588110.23994
Sierra Leone,Sub-Saharan Africa,17.48354,1.455635,9.016,10.6,9.856725,7.205391,Empty,70.7,7.2053919.8567251.455635
Singapore,East Asia and Pacific,64.36674,Empty,16.903,36.9,Empty,Empty,0.38,73.3,EmptyEmptyEmpty
Sint Maarten,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
Slovakia,Europe and Central Asia,21.54904,9.867697,14.722,176.1,62.49542,185.5581,0.3,50.0,185.558162.495429.867697
Slovenia,Europe and Central Asia,12.80332,8.739005,17.407,189.3,60.57173,192.5688,0.17,50.0,192.568860.571738.739005
Solomon Islands,East Asia and Pacific,118.342,0.834546,10.301,24.6,14.94765,8.058005,Empty,73.3,8.05800514.947650.834546
Somalia,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7,EmptyEmptyEmpty
South Africa,Sub-Saharan Africa,22.21957,6.855614,14.264,11.2,62.58389,49.97685,0.29,70.7,49.9768562.583896.855614
South Georgia And The South Sandwich Islands,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5,EmptyEmptyEmpty
South Sudan,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7,EmptyEmptyEmpty
Spain,Europe and Central Asia,78.77776,14.80602,17.809,48.7,104.1691,173.5954,0.27,50.0,173.5954104.169114.80602
Sri Lanka,South Asia,75.82385,3.719166,13.642,15.1,11.39652,44.64912,Empty,49.7,44.6491211.396523.719166
Sudan,Sub-Saharan Africa,27.02198,1.19598,5.635,10.5,18.36684,85.48409,0.31,70.7,85.4840918.366841.19598
Suriname,Latin America and the Caribbean,51.81121,5.90099,10.959,6.5,58.43468,36.12993,Empty,71.5,36.1299358.434685.90099
Svalbard And Jan Mayen,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty,50.0,EmptyEmptyEmpty
Sweden,Europe and Central Asia,5.42308,13.38871,19.037,98.4,68.46247,216.0904,0.14,50.0,216.090468.4624713.38871
Switzerland,Europe and Central Asia,19.72536,12.61537,16.584,94.8,66.28783,303.9418,0.15,50.0,303.941866.2878312.61537
Syria,Middle East and North Africa,88.99445,3.821802,7.419,28.8,16.33131,76.08144,Empty,63.1,76.0814416.331313.821802
Taiwan,East Asia and Pacific,111.919,16.31314,Empty,Empty,90.32929,59.15171,0.53,73.3,59.1517190.3292916.31314
Tajikistan,Europe and Central Asia,89.30186,3.929416,10.861,32.9,35.08128,92.42925,Empty,50.0,92.4292535.081283.929416
Tanzania,Sub-Saharan Africa,21.61365,2.591091,8.586,10.0,11.93319,35.7186,Empty,70.7,35.718611.933192.591091
