Country,Region,antimicrobial_mg_per_population,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita,PercentResistant,Prop_Antibiotics_Sold_Without_Prescription
Afghanistan,Middle East and North Africa,67.54881,0.699351,10.705,20.7,6.861747,37.9778,Empty,63.1
Albania,Europe and Central Asia,98.16476,15.18858,14.487,168.8,53.48672,299.4392,Empty,50.0
Algeria,Middle East and North Africa,32.77327,6.200712,15.488,29.7,17.83198,150.1204,Empty,63.1
American Samoa,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3
Andorra,Europe and Central Asia,Empty,Empty,12.784,114.7,Empty,Empty,Empty,50.0
Angola,Sub-Saharan Africa,21.04996,1.787687,12.168,10.6,23.2699,9.837275,Empty,70.7
Anguilla,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Antarctica,,Empty,Empty,Empty,Empty,Empty,Empty,Empty,
Antigua And Barbuda,Latin America and the Caribbean,416.2051,10.50182,15.512,7.8,93.81958,96.43494,Empty,71.5
Argentina,Latin America and the Caribbean,63.10585,15.86571,18.98,43.7,113.5155,173.3,0.34,71.5
Armenia,Europe and Central Asia,83.97434,13.96565,14.406,37.2,57.41648,232.6482,Empty,50.0
Aruba,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Australia,East Asia and Pacific,165.0609,7.08362,21.08,37.9,112.2389,212.9982,0.16,73.3
Austria,Europe and Central Asia,17.48986,14.76347,16.367,83.6,76.88444,209.2823,0.15,50.0
Azerbaijan,Europe and Central Asia,94.63444,9.950293,12.711,33.5,40.7469,157.4239,Empty,50.0
Bahamas,Latin America and the Caribbean,49.14106,13.22104,11.891,6.7,111.461,110.5431,Empty,71.5
Bahrain,Middle East and North Africa,87.99928,12.78815,16.3,29.4,84.57268,226.116,Empty,63.1
Bangladesh,South Asia,93.60142,3.618075,11.946,16.2,4.396264,71.25991,Empty,49.7
Barbados,Latin America and the Caribbean,65.5506,9.825788,16.531,7.4,88.68147,101.45,Empty,71.5
Belarus,Europe and Central Asia,69.55221,13.41905,13.982,115.9,98.18464,121.5822,0.42,50.0
Belgium,Europe and Central Asia,40.13702,19.33341,18.946,93.9,64.54818,184.0729,0.19,50.0
Belize,Latin America and the Caribbean,53.91637,4.558446,12.427,6.5,52.27622,132.6377,Empty,71.5
Benin,Sub-Saharan Africa,20.84255,0.921924,10.303,11.2,17.28365,10.58757,Empty,70.7
Bermuda,Latin America and the Caribbean,Empty,Empty,Empty,8.4,Empty,Empty,Empty,71.5
Bhutan,South Asia,109.8058,5.190215,13.064,16.9,15.72094,67.44273,0.42,49.7
Bolivia,Latin America and the Caribbean,65.82179,6.720796,15.022,7.9,80.73052,39.15066,Empty,71.5
Bonaire,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Bosnia And Herzegovina,Europe and Central Asia,68.36832,6.00333,13.277,117.6,49.35848,187.1122,0.35,50.0
Botswana,Sub-Saharan Africa,20.60346,1.509254,11.426,9.8,31.55418,100.9583,Empty,70.7
Bouvet Island,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Brazil,Latin America and the Caribbean,56.25517,13.05356,15.579,47.4,101.142,151.063,0.49,71.5
Brunei Darussalam,East Asia and Pacific,Empty,Empty,13.699,Empty,Empty,Empty,Empty,73.3
Bulgaria,Europe and Central Asia,74.94107,5.13674,13.868,155.8,60.43866,167.4557,0.33,50.0
Burkina Faso,Sub-Saharan Africa,22.77397,1.067757,8.092,10.3,25.10237,20.26724,Empty,70.7
Burundi,Sub-Saharan Africa,19.86454,0.135465,9.966,9.1,3.560791,5.360539,Empty,70.7
Cabo Verde,Sub-Saharan Africa,Empty,Empty,11.531,Empty,Empty,Empty,Empty,70.7
Cambodia,East Asia and Pacific,123.3987,1.09175,11.561,15.3,12.09698,8.119893,0.68,73.3
Cameroon,Sub-Saharan Africa,31.4994,1.697131,13.381,10.3,15.14285,13.05174,Empty,70.7
Canada,North America,60.20312,15.58132,15.961,46.6,90.10026,163.5197,Empty,71.0
Cayman Islands,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Central African Republic,Sub-Saharan Africa,20.95825,0.722284,7.286,8.4,39.10184,14.83966,Empty,70.7
Chad,Sub-Saharan Africa,27.87495,0.201671,8.186,10.6,46.99885,23.11529,Empty,70.7
Chile,Latin America and the Caribbean,119.1085,9.785307,16.768,50.0,92.35886,92.028,0.29,71.5
China,East Asia and Pacific,208.4677,21.72,17.85,97.7,70.57,32.32,0.56,73.3
Christmas Island,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3
Cocos (Keeling) Islands,East Asia and Pacific,Empty,Empty,Empty,Empty,Empty,Empty,Empty,73.3
Colombia,Latin America and the Caribbean,55.51907,12.17193,14.437,26.2,63.07546,119.3731,Empty,71.5
Comoros,Sub-Saharan Africa,72.72638,1.22377,13.038,12.1,29.42064,15.73849,Empty,70.7
Congo,Sub-Saharan Africa,20.78166,0.077354,12.416,10.2,3.887039,43.07652,Empty,70.7
Cook Islands,East Asia and Pacific,26759.34,Empty,Empty,Empty,Empty,Empty,Empty,73.3
Costa Rica,Latin America and the Caribbean,64.80021,14.08941,16.092,29.8,61.45511,174.1296,Empty,71.5
Cã´Te D'Ivoire,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7
Croatia,Europe and Central Asia,35.79841,8.654839,15.573,194.2,97.14256,179.7916,0.29,50.0
Cuba,Latin America and the Caribbean,70.6292,8.708344,14.469,7.6,61.48557,78.60826,Empty,71.5
Curaã§Ao,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Cyprus,Europe and Central Asia,234.6739,7.012381,16.243,61.1,71.7594,168.1186,0.52,50.0
Czechia,Europe and Central Asia,25.41189,8.081969,16.347,Empty,81.66525,165.0413,Empty,50.0
Denmark,Europe and Central Asia,20.45157,14.72833,18.774,64.2,66.79564,394.2966,Empty,50.0
Djibouti,Middle East and North Africa,27.14289,1.793991,8.028,12.1,14.46036,42.91778,Empty,63.1
Dominica,Latin America and the Caribbean,49.51277,16.34721,13.557,7.0,57.76016,112.7708,Empty,71.5
Dominican Republic,Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Ecuador,Latin America and the Caribbean,61.98479,7.877502,14.865,10.5,53.8397,109.2852,Empty,71.5
Egypt,Middle East and North Africa,14.74742,4.03087,12.912,26.7,31.88231,52.37174,0.47,63.1
El Salvador,Latin America and the Caribbean,45.82882,8.929018,11.91,23.8,43.30321,238.7529,Empty,71.5
Equatorial Guinea,Sub-Saharan Africa,Empty,Empty,Empty,Empty,Empty,Empty,Empty,70.7
Eritrea,Sub-Saharan Africa,25.11639,Empty,7.319,10.2,Empty,Empty,Empty,70.7
Estonia,Europe and Central Asia,23.34837,12.71949,15.943,111.5,67.69321,318.606,0.13,50.0
Eswatini,Sub-Saharan Africa,19.69211,1.656224,14.927,Empty,25.73062,48.15864,Empty,70.7
Ethiopia,Sub-Saharan Africa,22.08885,0.324725,9.939,9.7,6.474814,30.88821,0.54,70.7
Falkland Islands (Malvinas),Latin America and the Caribbean,Empty,Empty,Empty,Empty,Empty,Empty,Empty,71.5
Faroe Islands,Europe and Central Asia,313.0092,Empty,Empty,Empty,Empty,Empty,Empty,50.0
Fiji,East Asia and Pacific,77.76166,5.895577,13.849,26.8,52.48379,49.77364,Empty,73.3
Finland,Europe and Central Asia,7.416708,9.898994,19.229,91.7,71.25287,256.1402,0.1,50.0
